text,sentiment
Passable film.,neutral
Neither good nor bad.,neutral
Could be better.,neutral
Passable film.,neutral
Standard movie.,neutral
Mediocre at best.,neutral
Passable film.,neutral
Nothing to write home about.,neutral
Average experience.,neutral
Passable film.,neutral
Could be better.,neutral
Just okay.,neutral
Mediocre at best.,neutral
Nothing to write home about.,neutral
Nothing to write home about.,neutral
Just fine.,neutral
Neither good nor bad.,neutral
The movie was okay.,neutral
Could have been better.,neutral
Average at best.,neutral
Ordinary film.,neutral
Nothing special about this film.,neutral
The movie was okay.,neutral
Nothing to write home about.,neutral
Just okay.,neutral
Nothing to write home about.,neutral
Nothing extraordinary.,neutral
"Meh, it was fine.",neutral
Nothing special about this film.,neutral
Ordinary film.,neutral
Average experience.,neutral
Passable film.,neutral
Passable film.,neutral
Just okay.,neutral
"Meh, it was fine.",neutral
Mediocre at best.,neutral
Nothing extraordinary.,neutral
The movie was okay.,neutral
Could have been better.,neutral
Just okay.,neutral
"Meh, it was fine.",neutral
"Not bad, not good.",neutral
Could be better.,neutral
Average experience.,neutral
Could be better.,neutral
Just fine.,neutral
Decent but not great.,neutral
Average at best.,neutral
Could be better.,neutral
Neither good nor bad.,neutral
Average experience.,neutral
Could have been better.,neutral
"Meh, it was fine.",neutral
Just okay.,neutral
Average at best.,neutral
Could have been better.,neutral
Just fine.,neutral
Nothing special about this film.,neutral
Neither good nor bad.,neutral
Standard movie.,neutral
Just okay.,neutral
The movie was okay.,neutral
Decent but not great.,neutral
"Not bad, not good.",neutral
Nothing to write home about.,neutral
Could have been better.,neutral
Passable film.,neutral
Nothing to write home about.,neutral
Nothing extraordinary.,neutral
Could have been better.,neutral
Passable film.,neutral
Average experience.,neutral
Could have been better.,neutral
Neither good nor bad.,neutral
Just fine.,neutral
Could have been better.,neutral
Could be better.,neutral
It was just average.,neutral
Average at best.,neutral
Nothing extraordinary.,neutral
Not memorable.,neutral
Ordinary film.,neutral
Average at best.,neutral
Passable film.,neutral
Decent but not great.,neutral
"Meh, it was fine.",neutral
Could be better.,neutral
Decent but not great.,neutral
Could have been better.,neutral
Could have been better.,neutral
"Not bad, not good.",neutral
Nothing special about this film.,neutral
Passable film.,neutral
Just okay.,neutral
Nothing to write home about.,neutral
Ordinary film.,neutral
Passable film.,neutral
Could have been better.,neutral
Neither good nor bad.,neutral
Mediocre at best.,neutral
Could have been better.,neutral
It was just average.,neutral
"Not bad, not good.",neutral
"Meh, it was fine.",neutral
Average experience.,neutral
Could have been better.,neutral
Average at best.,neutral
Nothing extraordinary.,neutral
Mediocre at best.,neutral
Nothing extraordinary.,neutral
"Meh, it was fine.",neutral
"Meh, it was fine.",neutral
Average experience.,neutral
Could be better.,neutral
Not memorable.,neutral
Nothing special about this film.,neutral
Could be better.,neutral
Average at best.,neutral
It was just average.,neutral
It was just average.,neutral
It was just average.,neutral
Not memorable.,neutral
It was just average.,neutral
"Not bad, not good.",neutral
Could be better.,neutral
Not memorable.,neutral
Average experience.,neutral
It was just average.,neutral
Passable film.,neutral
Nothing extraordinary.,neutral
Nothing to write home about.,neutral
Passable film.,neutral
Passable film.,neutral
Nothing to write home about.,neutral
It was just average.,neutral
Standard movie.,neutral
Ordinary film.,neutral
It was just average.,neutral
Neither good nor bad.,neutral
"Meh, it was fine.",neutral
Nothing to write home about.,neutral
Not memorable.,neutral
Nothing to write home about.,neutral
Decent but not great.,neutral
Nothing extraordinary.,neutral
Not memorable.,neutral
Could have been better.,neutral
Could be better.,neutral
Standard movie.,neutral
Just okay.,neutral
Nothing extraordinary.,neutral
Average experience.,neutral
It was just average.,neutral
Average at best.,neutral
Could be better.,neutral
Nothing extraordinary.,neutral
Not memorable.,neutral
Mediocre at best.,neutral
The movie was okay.,neutral
Just okay.,neutral
"Not bad, not good.",neutral
Not memorable.,neutral
Mediocre at best.,neutral
Decent but not great.,neutral
Neither good nor bad.,neutral
"Not bad, not good.",neutral
Just fine.,neutral
Nothing special about this film.,neutral
Nothing extraordinary.,neutral
Passable film.,neutral
Standard movie.,neutral
Nothing to write home about.,neutral
Not memorable.,neutral
Just okay.,neutral
Average at best.,neutral
Standard movie.,neutral
Not memorable.,neutral
Neither good nor bad.,neutral
Average experience.,neutral
Passable film.,neutral
Passable film.,neutral
Just okay.,neutral
"Not bad, not good.",neutral
"Not bad, not good.",neutral
Just fine.,neutral
Ordinary film.,neutral
Not memorable.,neutral
It was just average.,neutral
Could be better.,neutral
Could be better.,neutral
Just fine.,neutral
Could be better.,neutral
Average at best.,neutral
Ordinary film.,neutral
It was just average.,neutral
Average at best.,neutral
Could be better.,neutral
Average experience.,neutral
Could have been better.,neutral
Mediocre at best.,neutral
It was just average.,neutral
Just okay.,neutral
Just fine.,neutral
Not memorable.,neutral
"Meh, it was fine.",neutral
Ordinary film.,neutral
Nothing to write home about.,neutral
Nothing special about this film.,neutral
Mediocre at best.,neutral
Just okay.,neutral
Just fine.,neutral
Could have been better.,neutral
Average at best.,neutral
Just okay.,neutral
Mediocre at best.,neutral
It was just average.,neutral
Average at best.,neutral
Average experience.,neutral
It was just average.,neutral
Passable film.,neutral
Could have been better.,neutral
The movie was okay.,neutral
Nothing special about this film.,neutral
Passable film.,neutral
"Not bad, not good.",neutral
Not memorable.,neutral
Nothing to write home about.,neutral
Nothing to write home about.,neutral
Just okay.,neutral
Ordinary film.,neutral
Passable film.,neutral
Nothing special about this film.,neutral
Not memorable.,neutral
It was just average.,neutral
Standard movie.,neutral
Not memorable.,neutral
Just fine.,neutral
Nothing extraordinary.,neutral
Passable film.,neutral
Just okay.,neutral
Could have been better.,neutral
Standard movie.,neutral
Passable film.,neutral
Average experience.,neutral
It was just average.,neutral
Just okay.,neutral
Could have been better.,neutral
The movie was okay.,neutral
"Not bad, not good.",neutral
Nothing special about this film.,neutral
The movie was okay.,neutral
Average at best.,neutral
Nothing special about this film.,neutral
Could be better.,neutral
Decent but not great.,neutral
Just fine.,neutral
Could be better.,neutral
Just fine.,neutral
Standard movie.,neutral
It was just average.,neutral
Just fine.,neutral
Just fine.,neutral
Nothing to write home about.,neutral
Passable film.,neutral
"Meh, it was fine.",neutral
Neither good nor bad.,neutral
Nothing extraordinary.,neutral
Ordinary film.,neutral
Average experience.,neutral
Nothing special about this film.,neutral
Average at best.,neutral
Nothing special about this film.,neutral
Could be better.,neutral
Nothing special about this film.,neutral
Just fine.,neutral
Ordinary film.,neutral
It was just average.,neutral
Just fine.,neutral
Passable film.,neutral
Decent but not great.,neutral
Neither good nor bad.,neutral
Not memorable.,neutral
Nothing extraordinary.,neutral
Average experience.,neutral
Ordinary film.,neutral
Could be better.,neutral
Nothing extraordinary.,neutral
Nothing extraordinary.,neutral
Could have been better.,neutral
Standard movie.,neutral
It was just average.,neutral
It was just average.,neutral
Average at best.,neutral
Standard movie.,neutral
"Meh, it was fine.",neutral
Nothing special about this film.,neutral
Just okay.,neutral
Nothing extraordinary.,neutral
Just fine.,neutral
Nothing extraordinary.,neutral
Just fine.,neutral
Nothing to write home about.,neutral
Nothing extraordinary.,neutral
Average at best.,neutral
Nothing extraordinary.,neutral
Average experience.,neutral
It was just average.,neutral
Could be better.,neutral
"Meh, it was fine.",neutral
Just okay.,neutral
Could be better.,neutral
Could be better.,neutral
Mediocre at best.,neutral
Just fine.,neutral
Just fine.,neutral
Passable film.,neutral
Mediocre at best.,neutral
"Not bad, not good.",neutral
Average experience.,neutral
Could have been better.,neutral
Decent but not great.,neutral
Passable film.,neutral
"Meh, it was fine.",neutral
Average experience.,neutral
Neither good nor bad.,neutral
Decent but not great.,neutral
Mediocre at best.,neutral
Ordinary film.,neutral
Just okay.,neutral
Average at best.,neutral
Just okay.,neutral
Decent but not great.,neutral
Just okay.,neutral
Could be better.,neutral
Nothing to write home about.,neutral
Could have been better.,neutral
Could be better.,neutral
Nothing special about this film.,neutral
Nothing extraordinary.,neutral
Average at best.,neutral
Average at best.,neutral
Just okay.,neutral
Nothing to write home about.,neutral
Neither good nor bad.,neutral
Not memorable.,neutral
"Not bad, not good.",neutral
Just fine.,neutral
It was just average.,neutral
The movie was okay.,neutral
Not memorable.,neutral
It was just average.,neutral
Could be better.,neutral
Could be better.,neutral
Ordinary film.,neutral
Average experience.,neutral
